objectid,wuname,wuc,hucarea,huc,swma,area_sqmi,st_areashape,st_perimetershape
209,Hanakapiai,2010,9643028.63737,2010,0,3.72300005,9643370.48965627,16266.9304256559
211,Hoolulu,2009,974596.284798,2009,0,0.37599999,974631.842248608,5507.07373765202
212,Waipa,2017,6471248.56619,2017,0,2.49900007,6471497.97506604,12145.5825317951
213,Waioli,2018,14043634.6874,2018,0,5.42199993,14044152.9464416,20406.2023515123
214,Waiahuakua,2008,1701575.17927,2008,0,0.65700001,1701635.54140025,7652.2897649586
219,Pohakuao,2005,1475482.89158,2005,0,0.56999999,1475532.98283511,5224.17465320431
215,Hanakoa,2007,5163892.81964,2007,0,1.99399996,5164069.87792837,12649.9006711846
364,Waihole,6067,2244254.20064,6067,0,0.86699998,2244301.47081699,9871.30825596381
216,Moloaa,2032,9410801.45757,2032,0,3.63400006,9411141.51000275,18243.9178522614
217,Waiolaa,2006,913320.903919,2006,0,0.35299999,913352.58698425,4271.13370991777
218,Papaa,2033,11311905.0627,2033,0,4.36800003,11312320.7188629,16393.0077219882
365,Manawaikeae,6068,1323465.1746,6068,0,0.51099998,1323493.13160619,7257.71835414367
220,Kalalau,2004,10844355.2833,2004,0,4.1869998,10844705.6955104,13860.369497956
221,Nakeikionaiwi,2003,1255792.94803,2003,0,0.48500001,1255833.07379928,5446.33810418565
223,Aliomanu,2034,4215133.65022,2034,0,1.62699997,4215291.85439592,9639.61836457098
222,Honopu,2002,4461367.62823,2002,0,1.72300005,4461505.53544583,11479.6610707095
224,Awaawapuhi,2001,3305590.10868,2001,0,1.27600002,3305690.14616421,14094.7571151828
225,Anahola,2035,35529991.7504,2035,0,1.37100005,35531349.4921115,38641.9842973418
226,Nualolo,2074,7255146.3391,2074,0,2.80100012,7255360.14162188,16888.587927696
227,Milolii,2073,11120903.2735,2073,0,4.29400015,11121216.9009622,19487.6880202159
228,Makaha,2072,7178180.48389,2072,0,2.77200007,7178374.91852137,18451.8491401222
229,Kapaa,2037,42925854.65,2037,0,1.65699995,42927549.9499726,34406.1199805224
230,Kauhao,2071,10199898.5437,2071,0,3.93799996,10200163.6463161,17730.6091685163
231,Kumukumu,2036,3099732.79828,2036,0,1.19700003,3099856.98252941,9069.69785874541
232,Kaaweiki,2070,5519163.89805,2070,0,2.13100004,5519300.83459511,15499.7258232847
236,Moikeha,2038,5791840.58897,2038,0,2.23600006,5792079.28265746,12712.3384670327
233,Hikimoe,2069,5632368.02336,2069,0,2.17499995,5632506.52120898,16726.5558484751
245,Paua,2062,13084473.4422,2062,0,5.05200005,13084707.2702485,18891.9100880967
246,Waipao,2059,23737699.3274,2059,0,9.16499996,23738182.3548599,35170.3876482775
234,Haeleele,2068,6285818.70268,2068,0,2.42700005,6285968.39216051,17550.597394909
306,Waiolai,6020,2493205.06538,6020,0,0.963,2493308.1309631,8198.35305302783
235,Waikaea,2039,18277062.4377,2039,0,7.05700016,18277820.7598425,21941.3565599704
369,Lanikele,6072,1799729.12247,6072,0,0.69499999,1799767.52779716,10224.9937983272
237,Kaulaula,2067,6542961.7212,2067,0,2.52600002,6543111.71986366,19901.2850798963
238,Nahomalu,2066,45208675.9907,2066,0,1.745,45209484.081958,34227.0203675542
239,Kaawaloa,2065,19234007.9489,2065,0,7.42600012,19234296.8268253,33103.3736160224
374,Hapapa,6111,104840269.102,6111,0,4.04699993,104843952.537725,50808.6760440107
375,Moomoonui,6077,7558149.26195,6077,0,2.91799998,7558210.28658487,19707.5427669195
