objectid,hawaiistgrdsownerlulcarea,perimeter,landcover,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,st_areashape,st_perimetershape
70,325627.472,2803.435,Residential,{913582FA-C0E1-4119-8E40-C330FD8943C7},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,325640.667187717,2803.49464000765
71,70232.88,1043.409,Commercial and Services,{36B712A4-99BB-4820-A1B8-188BD570EBF1},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,70235.7367576677,1043.4299090598
72,3419987.673,19303.196,Residential,{C85E4D58-9AEC-4D64-A3F5-D8A8023B8B78},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3420130.43238898,19303.6018121458
73,2175260.958,8617.046,Forested Wetland,{5F955DFC-8E8C-4787-B3E1-A0F8D809452A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2175313.72958042,8617.15798166964
74,70520882.573,64287.576,Cropland and Pasture,{573120D9-88BB-4788-93F3-ABFEE5B918EB},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,70521957.6275726,64288.1250324614
75,112584.334,1263.093,Residential,{F4BE7429-75D2-4B38-B68D-BE038B904C7E},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,112588.946155511,1263.1186546376
84,753106.678,5064.965,Sandy Areas Other than Beaches,{9E06A8BB-13A5-42CE-87C9-9944D42CF788},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,753114.74608134,5064.97914343347
76,15308088.833,22823.423,Mixed Rangeland,{DEA52A2D-2FF9-410B-8577-CAE84768B5CD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,15308388.2730407,22823.6464434017
77,130866.623,1484.48,Other Urban or Built-up Land,{8CC83AA7-A89E-4467-BC07-A7773D0408FB},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,130871.991873736,1484.51111764753
78,901489.394,4489.355,Commercial and Services,{7F341F33-E09B-4927-870A-E5E5DD8E30B2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,901526.737753723,4489.44905453022
79,496529.903,2755.372,Shrub and Brush Rangeland,{37045D70-E98A-4093-81DC-32E4552F9419},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,496543.338028991,2755.40976667789
80,94470.466,1358.276,Reservoirs,{6B56DDDD-2B59-4A76-A6E9-1CF87FAFB2C0},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,94472.8065807672,1358.29323447052
81,162458.545,2013.345,Residential,{4D50B0B7-E181-4287-A61A-02DE443B049C},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,162465.193979779,2013.38427759934
82,674653.948,3965.967,Evergreen Forest Land,{0D194BAA-56F2-4592-B887-ED8A6FDFE037},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,674681.85962825,3966.04525726515
85,1003435.561,5548.732,Bare Exposed Rock,{02EB7259-36B4-4EBC-9F3C-BA06EF60A370},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1003461.47789512,5548.80466534242
86,668631.208,3743.688,Residential,{8E8073F2-5D0B-405A-81A1-6210EECABED2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,668659.127307417,3743.77023099288
87,336060.109,3080.051,Residential,{381D312A-8A88-43CE-8402-CEC96079996F},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,336074.069016509,3080.11406060567
88,699172.582,6754.373,Evergreen Forest Land,{8E6E814F-E4D4-43DA-8929-CEDD45C6E563},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,699188.592436849,6754.45402314828
89,1887371.217,7883.887,Shrub and Brush Rangeland,{C341BA34-92BF-4852-963D-4FA4994EE0FD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1887418.98911855,7883.98532300151
90,309397.051,2093.365,Evergreen Forest Land,{909B29DF-1579-433F-B4BB-6587139CA222},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,309410.112364836,2093.40944224585
83,11767576.433,34208.654,Evergreen Forest Land,{EA3B56C7-CE54-4F50-8CF3-57B398BAE4F3},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,11768084.3590834,34209.3779247053
131,143724.87,2013.903,Commercial and Services,{A694D371-9FDF-4DB7-B22E-4AB1C887B5ED},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,143730.282218646,2013.94213488842
91,569180.987,3697.409,"Transportation, Communications and Utilities",{BF1F48B6-5102-41F0-A1C8-3E91F4C804E9},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,569187.052558467,3697.42412329562
92,181458.125,2276.164,Reservoirs,{7C6B5AB1-147E-4BFA-B479-A078AE7F0004},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,181465.67398203,2276.21216570034
93,1760552.959,5818.858,Residential,{FEFE43D1-6361-4496-8D2E-BB22801E7699},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1760628.00459858,5818.98032158267
94,1741641.395,10497.715,Residential,{C4F27FEF-A37F-489C-BBED-230A89CA1B5D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1741715.22669644,10497.9318758272
95,27875258.625,47946.082,Cropland and Pasture,{E46DB478-964F-4BC3-ACDB-4F33C81ECC5D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,27876469.9513197,47947.1262698691
